geoid,date,mean_prcp
0572038,2008-09-02,2.9221956729888916
0571661,2008-09-02,49.31218719482422
0572651,2008-09-02,0
0572642,2008-09-02,0
0572718,2008-09-02,0
0572764,2008-09-02,0
0572739,2008-09-02,0
0572738,2008-09-02,0
0572633,2008-09-02,0
0572687,2008-09-02,0
0572632,2008-09-02,0
0572638,2008-09-02,0
0571653,2008-09-02,36.098236083984375
0571962,2008-09-02,11.641488075256348
0571923,2008-09-02,13.157390594482422
0572543,2008-09-02,0
0571665,2008-09-02,18.800703048706055
0571861,2008-09-02,23.807655334472656
0572031,2008-09-02,0
0572025,2008-09-02,1.9810808897018433
0572437,2008-09-02,0
0572450,2008-09-02,0
0572955,2008-09-02,0
0572952,2008-09-02,0
0572348,2008-09-02,0.00176769751124084
0572347,2008-09-02,0
0572396,2008-09-02,0
0571674,2008-09-02,13.421903610229492
0572034,2008-09-02,0.7013068795204163
0572035,2008-09-02,0.597125768661499
0572949,2008-09-02,0
0572855,2008-09-02,0
0572167,2008-09-02,10.676870346069336
0572057,2008-09-02,16.616588592529297
0571838,2008-09-02,12.623749732971191
0571835,2008-09-02,14.816932678222656
0572104,2008-09-02,11.439577102661133
0571833,2008-09-02,5.486246585845947
0571973,2008-09-02,3.2770514488220215
0572521,2008-09-02,0
0572527,2008-09-02,0
0572112,2008-09-02,0
0572577,2008-09-02,0
0572556,2008-09-02,0
0572005,2008-09-02,0
0572175,2008-09-02,6.315967082977295
0572830,2008-09-02,0
0572854,2008-09-02,0
0572368,2008-09-02,0.001675014733336866
0571643,2008-09-02,10.838021278381348
0572865,2008-09-02,0
0572086,2008-09-02,2.3283143043518066
0572007,2008-09-02,1.4328609704971313
0572142,2008-09-02,3.534461259841919
0572773,2008-09-02,0
0572634,2008-09-02,0
0572668,2008-09-02,0
0565761,2008-09-02,0
0571839,2008-09-02,18.2572078704834
0572338,2008-09-02,0
0572428,2008-09-02,0
0571969,2008-09-02,6.879806041717529
0572640,2008-09-02,0
0572666,2008-09-02,0
0572126,2008-09-02,3.705155849456787
0572853,2008-09-02,2.4859373569488525
0572390,2008-09-02,0.062007177621126175
0572374,2008-09-02,0.4132841229438782
0571953,2008-09-02,3.701594591140747
0572205,2008-09-02,3.875875949859619
0572201,2008-09-02,3.7030298709869385
0572114,2008-09-02,3.3300275802612305
0572011,2008-09-02,8.412899017333984
0572950,2008-09-02,3.4851508140563965
0572482,2008-09-02,0
0571724,2008-09-02,30.43622589111328
0571747,2008-09-02,60.95491027832031
0571765,2008-09-02,49.05990219116211
0572730,2008-09-02,0
0572774,2008-09-02,0
0572010,2008-09-02,0
0572136,2008-09-02,0.0027319842483848333
0572059,2008-09-02,0
0572828,2008-09-02,3.9424469470977783
0572824,2008-09-02,0
0572055,2008-09-02,7.5875091552734375
0571642,2008-09-02,38.233524322509766
0572617,2008-09-02,0
0572712,2008-09-02,0
0572685,2008-09-02,0
0571745,2008-09-02,29.58182144165039
0571766,2008-09-02,25.813398361206055
0571711,2008-09-02,24.5684757232666
0571701,2008-09-02,23.986339569091797
0572130,2008-09-02,0
0572121,2008-09-02,0
0572153,2008-09-02,0
0572110,2008-09-02,0.021010657772421837
0572156,2008-09-02,0
0572125,2008-09-02,1.4204603433609009
0572934,2008-09-02,0
0572935,2008-09-02,0
0572326,2008-09-02,0
0572346,2008-09-02,0
0571639,2008-09-02,13.724679946899414
0571654,2008-09-02,22.434999465942383
0572933,2008-09-02,0
0572951,2008-09-02,0
0572576,2008-09-02,0
0572079,2008-09-02,9.180663108825684
0571855,2008-09-02,11.12096881866455
0571862,2008-09-02,11.847501754760742
0571852,2008-09-02,8.729408264160156
0571959,2008-09-02,6.1468915939331055
0571851,2008-09-02,9.374420166015625
0572501,2008-09-02,0
0572020,2008-09-02,0
0572165,2008-09-02,0
0572572,2008-09-02,0
0572560,2008-09-02,0
0572536,2008-09-02,0
0572014,2008-09-02,0
0571826,2008-09-02,20.20436668395996
0572372,2008-09-02,0
0571866,2008-09-02,4.5420331954956055
0571846,2008-09-02,6.218264579772949
0572037,2008-09-02,4.395049571990967
0572776,2008-09-02,0.09360700845718384
0572760,2008-09-02,0
0572438,2008-09-02,0
0572426,2008-09-02,0
