geoid,date,mean_prcp
01051031000,2018-10-07,0
01053970200,2018-10-07,0
01053970700,2018-10-07,0
01055000700,2018-10-07,0
01055001000,2018-10-07,0
01055011200,2018-10-07,0
01059972900,2018-10-07,0
01061050600,2018-10-07,0
01063060000,2018-10-07,0
01063060100,2018-10-07,0
01063060200,2018-10-07,0
01069040201,2018-10-07,0
01069040301,2018-10-07,0
01069040700,2018-10-07,0
01069041000,2018-10-07,0
01071950400,2018-10-07,0
01071950800,2018-10-07,0
01073000100,2018-10-07,0
01073000300,2018-10-07,0
01073001400,2018-10-07,0
01073002100,2018-10-07,0
01073002700,2018-10-07,0
01073003100,2018-10-07,0
01073003700,2018-10-07,0
01073003803,2018-10-07,0
01073003900,2018-10-07,0
01073004000,2018-10-07,0
01073005101,2018-10-07,0
01073005701,2018-10-07,0
01073010002,2018-10-07,0
01073010402,2018-10-07,0
01073010603,2018-10-07,0
01073010900,2018-10-07,0
01073011206,2018-10-07,0
01073011802,2018-10-07,0
01073011803,2018-10-07,0
01073012302,2018-10-07,0
01073012401,2018-10-07,0
01073012908,2018-10-07,0
01073012912,2018-10-07,0
01073013002,2018-10-07,0
01073013902,2018-10-07,0
01073014102,2018-10-07,0
01073014405,2018-10-07,0
01073014412,2018-10-07,0
01077010200,2018-10-07,0
01077011000,2018-10-07,0
01077011101,2018-10-07,0
01077011802,2018-10-07,0
01079979300,2018-10-07,0
01081040200,2018-10-07,0
01081040300,2018-10-07,0
01081040603,2018-10-07,0
01081040800,2018-10-07,0
01081041300,2018-10-07,0
01081042004,2018-10-07,0
01083020402,2018-10-07,0
01083020700,2018-10-07,0
01083021000,2018-10-07,0
01085780800,2018-10-07,0
01085781000,2018-10-07,0
01087231700,2018-10-07,0
01087232200,2018-10-07,0
01089000202,2018-10-07,0
01089000302,2018-10-07,0
01089000601,2018-10-07,0
01089001000,2018-10-07,0
01089001500,2018-10-07,0
01089002200,2018-10-07,0
01089002600,2018-10-07,0
01089002911,2018-10-07,0
01089010401,2018-10-07,0
01089010501,2018-10-07,0
01089010623,2018-10-07,0
01001020100,2018-10-07,0
01001020200,2018-10-07,0
01001020300,2018-10-07,0
01001021100,2018-10-07,0
01003010100,2018-10-07,0
01003010500,2018-10-07,0
01003011101,2018-10-07,0.049548134207725525
01003011405,2018-10-07,0
01005950300,2018-10-07,0
01005950800,2018-10-07,0
01009050102,2018-10-07,0
01009050500,2018-10-07,0
01009050601,2018-10-07,0
01013952800,2018-10-07,0
01015000200,2018-10-07,0
01015000300,2018-10-07,0
01015001201,2018-10-07,0
01015002101,2018-10-07,0
01015981901,2018-10-07,0
01017954400,2018-10-07,0
01021060102,2018-10-07,0
01023956700,2018-10-07,0
01023956800,2018-10-07,0
01025957700,2018-10-07,0
01025957800,2018-10-07,0
01025958002,2018-10-07,0
01027959200,2018-10-07,0
01031010800,2018-10-07,0
01033020100,2018-10-07,0
01033020703,2018-10-07,0
01037961100,2018-10-07,0
01039961700,2018-10-07,0
01039961800,2018-10-07,0
01039962300,2018-10-07,0
01039962700,2018-10-07,0
01043964400,2018-10-07,0
01043964800,2018-10-07,0
01045020500,2018-10-07,0
01045020700,2018-10-07,0
01047956100,2018-10-07,0
01047956300,2018-10-07,0
01047956701,2018-10-07,0
01047956900,2018-10-07,0
01049961100,2018-10-07,0
01051030400,2018-10-07,0
01051030901,2018-10-07,0
01097006701,2018-10-07,0
01097006702,2018-10-07,0
01097006901,2018-10-07,0
01097007500,2018-10-07,0
01097007600,2018-10-07,0
01099075700,2018-10-07,0
01099076200,2018-10-07,0
01101000100,2018-10-07,0
01101000600,2018-10-07,0
01101001100,2018-10-07,0
01101001700,2018-10-07,0
01101002100,2018-10-07,0
01101002600,2018-10-07,0
01101003100,2018-10-07,0
01101005301,2018-10-07,0
01101005403,2018-10-07,0
01101005409,2018-10-07,0
01101005603,2018-10-07,0
01101005611,2018-10-07,0
01101005902,2018-10-07,0
01103000300,2018-10-07,0
01103000900,2018-10-07,0
01103005108,2018-10-07,0
01103005303,2018-10-07,0
01105686800,2018-10-07,0
01107050400,2018-10-07,0
01109189100,2018-10-07,0
01113030500,2018-10-07,0
01113030700,2018-10-07,0
01113031200,2018-10-07,0
01115040104,2018-10-07,0
01115040300,2018-10-07,0
01117030211,2018-10-07,0
01117030212,2018-10-07,0
01117030306,2018-10-07,0
01117030332,2018-10-07,0
01117030340,2018-10-07,0
01117030605,2018-10-07,0
01119011300,2018-10-07,0
01119011500,2018-10-07,0
01121010500,2018-10-07,0
01121010600,2018-10-07,0
01121011800,2018-10-07,0
01121012000,2018-10-07,0
01125010102,2018-10-07,0
01125010103,2018-10-07,0
01125010204,2018-10-07,0
01125010403,2018-10-07,0
01125010601,2018-10-07,0
01125010804,2018-10-07,0
01125011701,2018-10-07,0
01125012303,2018-10-07,0
01125012304,2018-10-07,0
01125012305,2018-10-07,0
01125012403,2018-10-07,0
01125012800,2018-10-07,0
01127021800,2018-10-07,0
01129044000,2018-10-07,0
01129044100,2018-10-07,0
01131034700,2018-10-07,0
01131034800,2018-10-07,0
01131035200,2018-10-07,0
01133965600,2018-10-07,0
01051031100,2018-10-07,0
