geoid,date,mean_prcp
48029110100,2017-08-17,0
48029110300,2017-08-17,0
48029110500,2017-08-17,0
48029120300,2017-08-17,0
48029120702,2017-08-17,0
48029121108,2017-08-17,0
48029121115,2017-08-17,0
48029121120,2017-08-17,0
48029121205,2017-08-17,0
48029121505,2017-08-17,0
48029121601,2017-08-17,0
48029121803,2017-08-17,0
48029121808,2017-08-17,0
48029121813,2017-08-17,0
48029121909,2017-08-17,0
48029130500,2017-08-17,0
48029131000,2017-08-17,0
48029131300,2017-08-17,0
48029131505,2017-08-17,0
48029131610,2017-08-17,0
48029131802,2017-08-17,0
48029140500,2017-08-17,0
48029140900,2017-08-17,0
48029141402,2017-08-17,0
48029150100,2017-08-17,0
48029150501,2017-08-17,0
48029150900,2017-08-17,0
48029151400,2017-08-17,0
48039664300,2017-08-17,0
48039990000,2017-08-17,0
48041000300,2017-08-17,0
48041000604,2017-08-17,0
48041001100,2017-08-17,0
48041001601,2017-08-17,0
48041001701,2017-08-17,0
48041001804,2017-08-17,0
48041002006,2017-08-17,0
48041002011,2017-08-17,0
48041002015,2017-08-17,0
48043950500,2017-08-17,0.1749669760465622
48047950200,2017-08-17,0
48049950800,2017-08-17,0
48049951300,2017-08-17,0
48051970200,2017-08-17,0
48051970400,2017-08-17,0
48055960200,2017-08-17,0
48057000200,2017-08-17,0
48057000500,2017-08-17,0
48057990000,2017-08-17,NA
48061010401,2017-08-17,0
48061010601,2017-08-17,0
48061011000,2017-08-17,0
48061011500,2017-08-17,0
48061012304,2017-08-17,0
48061012402,2017-08-17,0
48029152201,2017-08-17,0
48029160100,2017-08-17,0
48029160501,2017-08-17,0
48029160702,2017-08-17,0
48029161302,2017-08-17,0
48029161501,2017-08-17,0
48029161801,2017-08-17,0
48029170101,2017-08-17,0
48029170102,2017-08-17,0
48029170500,2017-08-17,0
48029171000,2017-08-17,0
48029171501,2017-08-17,0
48029171700,2017-08-17,0
48029171913,2017-08-17,0
48029171917,2017-08-17,0
48029171922,2017-08-17,0
48029180102,2017-08-17,0
48029180501,2017-08-17,0
48029180603,2017-08-17,0
48029181001,2017-08-17,0
48029181005,2017-08-17,0
48029181303,2017-08-17,0
48029181506,2017-08-17,0
48029181711,2017-08-17,0
48029181718,2017-08-17,0
48029181725,2017-08-17,0
48029181729,2017-08-17,0
48029181813,2017-08-17,0
48029181817,2017-08-17,0
48029181821,2017-08-17,0
48029181822,2017-08-17,0
48029181823,2017-08-17,0
48029182102,2017-08-17,0
48029190100,2017-08-17,0
48029190503,2017-08-17,0
48029190700,2017-08-17,0
48029191004,2017-08-17,0
48029191201,2017-08-17,0
48029191408,2017-08-17,0
48029191413,2017-08-17,0
48029191806,2017-08-17,0
48029191810,2017-08-17,0
48029191815,2017-08-17,0
