geoid,max_pct_out,avg_customer_hrs_out
12001,0.012491220859527885,0.15613290431249696
12003,0.11952784537699479,0.2149127920217049
12005,0.024589693582293924,0.28727313929798654
12007,0.004651903705388795,0.021647674699199614
12009,0.009422646897771893,0.0759206336344169
12011,0.004296099664185634,0.10166467113022233
12013,0.17454340034575877,0.5949572174079193
12015,0.05759659133921939,0.22945792426132863
12017,0.06110632428976425,0.19459342026046836
12019,0.026903987259430624,0.09649044758986279
12021,0.017022403564083112,0.0936058447373436
12023,0.06616508602397951,0.19384723562613634
12027,0.012882213347941294,0.20626950702816046
12029,0.15400158107343825,0.4325559706720526
12031,0.005391472018476295,0.04026252727976864
12033,0.10731579728333045,0.9408932267592687
12035,0.06595152839552264,0.18659740087851398
12037,0.03393874553018967,0.16802069089946012
12039,0.07258543148674489,0.31845861012179005
12041,0.0826183614869557,0.16257253864024743
12043,0.017444532244575272,0.02520654888551014
12045,0.018889246577254604,0.11378522342965272
12047,0.1462305298955498,0.4399160079991719
12049,0.08102788847620898,0.3831509023876475
12051,0.07914918965708939,0.15235331686235706
12053,0.007197565972850183,0.04392602935226317
12055,0.03527094272611704,0.2468208529956106
12057,0.01130273663875058,0.10666294275328798
12059,0.11080387086036571,0.4968441270489531
12061,0.0421440851984106,0.08508621537528199
12063,0.016889130787898648,0.10295206010489631
12065,0.02701210790775175,0.1924950339776159
12067,0.11372097429163484,0.4902564095188793
12069,0.008108753530722369,0.08019952523031486
12071,0.013832136501297929,0.08668535087036085
12073,0.05563699166631523,0.30772307889275413
12075,0.03842054931614082,0.10516221115450124
12077,0.22033986769073122,0.8168379426543229
12079,0.04453795203064027,0.19859726997285498
12081,0.022424977588581616,0.10242052625411881
12083,0.01124832940336593,0.2726146778307677
12085,0.02906433793592126,0.09485414754524205
12086,0.005629432250035604,0.13656366408045956
12087,0.14737823336959113,0.23667696379673314
12089,0.035252794530425346,0.1954549096490537
12091,0.0030732495502243445,0.052879628728860165
12093,0.036394835834040885,0.07980057488823696
12095,0.010452727627137209,0.0682034195983427
12097,0.017570433640876893,0.1338709491788137
12099,0.011624512456079907,0.14204505898860484
12101,0.014675563376224932,0.1638293547136744
12103,0.00503223371761997,0.17813585419109276
12105,0.0060660959918216,0.0647044992547468
12107,0.04784532765725706,0.12288714914218636
12109,0.023375332317856386,0.0649472990697141
12111,0.0407753603041867,0.06787153370582394
12113,0.03126285361759936,0.31033697249109155
12115,0.0142274263457596,0.10088689946265621
12117,0.03464987331071217,0.11845759490430609
12119,0.011071327611682932,0.03313855613627252
12121,0.043383217985441286,0.265684463741467
12123,0.10993378180828717,0.20837448642752615
12125,0.07434649710524979,0.07646517966524395
12127,0.02297669510009986,0.13008332497168382
12129,0.061740824341133184,0.2947469331780594
12131,0.04446128924666185,0.1470248169206223
12133,0.14440624830361046,0.2610988047626138
13001,0.135740730235093,0.6098394908753187
13003,0.014010845122854245,0.03893398308177766
13005,0.01672980075194891,0.08049925732187763
13007,0.0022257077838413694,0.002643027993311626
13009,0.038064742483801005,0.10249822591235332
13011,0.08395742918463175,0.259473838574666
13013,0.006203425896863844,0.021051440659264804
13015,0.04137859341162085,0.10307758076460972
13017,0.014230884644514944,0.02072372576357489
13019,0.043721092412133164,0.09133626246539613
13021,0.020239820351958277,0.0744681946792223
13023,0.0018547564865344745,0.007697239419118069
13025,0.008711472019171855,0.0490314607565551
13027,0.0031057759707116958,0.0058078010652308715
13029,0.0019653176984811135,0.011979767441476786
13031,0.04318167000760175,0.1298164615267215
13033,0.06863623332109105,0.11415471514534486
13035,0.018719404788480717,0.03358204778636993
13037,0.061718727969146334,0.7507968963505968
13039,0.027449332896491978,0.10694881590803007
13043,0.1238361407285606,0.26146400118000607
13045,0.07552083616810719,0.08935922381563492
13047,0.004684189675092421,0.04068800326837829
13049,0.023286327882675015,0.08773587695618484
13051,0.011156451923968027,0.15848847246296152
13053,0.06907048715674337,0.1748443497757024
13055,0.08768271607392326,0.3039042845633717
13057,0.02210723578529892,0.073536907279637
